sqlite> select * from domain where sourceid=2 and id<2648365;
Id;Name;Level;sourceid;CategoryName;CatId;Cat2Id;Cat3Id;Invariance;Pcountry
2644831;arbor.io;2;2;Ads;11;;;5;
2644832;sharethis.com;2;2;Computer;13;;;5;
2644833;liveramp.com;2;2;Ads;11;;;5;
2644834;me.com;2;2;Computer;13;;;5;
2644835;chartboost.com;2;2;Computer;13;;;5;
2644836;offers.com;2;2;News;21;;;5;
2644837;urbanairship.com;2;2;Ads;11;;;5;
2644838;adscale.de;2;2;News;21;;;5;
2644839;m.me;2;2;Computer;13;;;5;
2644840;onelink.me;2;2;Computer;13;;;5;
2644841;wish.com;2;2;Shopping;26;;;5;
2644842;thunersee.ch;2;2;Sports;44;;;5;
2644843;stroeer.de;2;2;News;21;;;5;
2644844;hometogo.com;2;2;Travel;29;;;5;
2644845;hometogo.ch;2;2;Travel;29;;;5;
2644846;airbnb.ch;2;2;Travel;29;;;5;
2644847;ocsp2.globalsign.com;3;2;Computer;13;;;5;
2644848;globalsign.com;2;2;Computer;13;;;5;
2644849;siroop.ch;2;2;News;21;;;5;
2644850;veinteractive.com;2;2;Computer;13;;;5;
2644851;creative-discount.ch;2;2;Shopping;26;;;5;
2644852;cupofjo.com;2;2;News;21;;;5;
2644853;amazon-logistikblog.de;2;2;Education;45;;;5;
2644854;trustedshops.ch;2;2;Shopping;26;;;5;
2644855;tesla.com;2;2;Business;7;;;5;
2644856;teslamotors.com;2;2;Business;7;;;5;
2644857;ts.la;2;2;Business;7;;;5;
2644858;windowsphone.com;2;2;Computer;13;;;5;
2644859;tapsense.com;2;2;Computer;13;;;5;
2644860;creatives.adbetclickin.pink;3;2;Computer;13;;;5;
2644861;splicky.com;2;2;Computer;13;;;5;
2644862;amp.genius.com;3;2;Computer;13;;;5;
2644863;genius.com;2;2;Computer;13;;;5;
2644864;players.brightcove.net;3;2;Sports;44;;;5;
2644865;supersonicads.com;2;2;Computer;13;;;5;
2644866;ssacdn.com;2;2;Computer;13;;;5;
2644867;gate.hockeyapp.net;3;2;Sports;44;;;5;
2644868;supersonic.com;2;2;Computer;13;;;5;
2644869;migros.ch;2;2;Shopping;26;;;5;
2644870;cx.ssacdn.com;3;2;Computer;13;;;5;
2644871;gwallet.com;2;2;Computer;13;;;5;
2644872;zemanta.com;2;2;Computer;13;;;5;
2644873;radiumone.com;2;2;Computer;13;;;5;
2644874;bidtheatre.com;2;2;Ads;11;;;5;
2644875;fyber.com;2;2;Computer;13;;;5;
2644876;yieldmo.com;2;2;Ads;11;;;5;
2644877;linsenkontakt.ch;2;2;Shopping;26;;;5;
2644878;mayoris.com;2;2;Ads;11;;;5;
2644879;static-cl.neuronation.de;3;2;Computer;13;;;5;
2644880;magando.ch;2;2;Shopping;26;;;5;
2644881;frenchdating.me;2;2;Dating;36;;;5;
2644882;expedia.com;2;2;Shopping;26;;;5;
2644883;adkernel.com;2;2;Computer;13;;;5;
2644884;expedia.ca;2;2;Travel;29;;;5;
2644885;zalan.do;2;2;Shopping;26;;;5;
2644886;pcpartpicker.com;2;2;Shopping;26;;;5;
2644887;bet-at-home.com;2;2;Sports;44;;;5;
2644888;watchbox.de;2;2;Violence;10;;;5;
2644889;releases.com;2;2;Games;17;;;5;
2644890;appdynamics.com;2;2;Computer;13;;;5;
2644891;stroeerdigitalgroup.de;2;2;News;21;;;5;
2644892;stroeerdigitalmedia.de;2;2;News;21;;;5;
2644893;email.wunderweib.de;3;2;News;21;;;5;
2644894;liebenswert-magazin.de;2;2;News;21;;;5;
2644895;datingtestsieger.ch;2;2;Dating;36;;;5;
2644896;wunderweib.de;2;2;News;21;;;5;
2644897;webmasterplan.com;2;2;Computer;13;;;5;
2644898;plarium.com;2;2;Games;17;;;5;
2644899;remintrex.com;2;2;Ads;11;;;5;
2644900;track.mysnoring-solution.com;3;2;Health;34;;;5;
2644901;perfectmarket.com;2;2;Computer;13;;;5;
2644902;news.surveycompare.net;3;2;Computer;13;;;5;
2644903;cm.adsafety.net;3;2;Ads;11;;;5;
2644904;jivox.com;2;2;Ads;11;;;5;
2644905;news.at;2;2;News;21;;;5;
2644906;affili.net;2;2;Computer;13;;;5;
2644907;mediaimpact.de;2;2;News;21;;;5;
2644908;adroll.com;2;2;Computer;13;;;5;
2644909;picreel.com;2;2;Ads;11;;;5;
2644910;pcrl.co;2;2;Ads;11;;;5;
2644911;books.telegraph.co.uk;4;2;News;21;;;5;
2644912;moengage.com;2;2;Ads;11;;;5;
2644913;cinema.com;2;2;Violence;10;;;5;
2644914;madeleine-mode.ch;2;2;Shopping;26;;;5;
2644915;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644916;telegraph.co.uk;3;2;News;21;;;5;
2644917;content.time.com;3;2;News;21;;;5;
2644918;sumologic.com;2;2;Computer;13;;;5;
2644919;images.mentalfloss.com;3;2;News;21;;;5;
2644920;losangeles.cbslocal.com;3;2;Shopping;26;;;5;
2644921;mentalfloss.com;2;2;News;21;;;5;
2644922;qubit.com;2;2;Computer;13;;;5;
2644923;time.com;2;2;News;21;;;5;
2644924;vidible.tv;2;2;Ads;11;;;5;
2644925;sharethe.buzz;2;2;Sports;44;;;5;
2644926;snap.licdn.com;3;2;Computer;13;;;5;
2644927;supergadget.store;2;2;Computer;13;;;5;
2644928;vertamedia.com;2;2;Ads;11;;;5;
2644929;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644930;sessioncam.com;2;2;Computer;13;;;5;
2644931;dyndns.com;2;2;Computer;13;;;5;
2644932;beachfrontmedia.com;2;2;Computer;13;;;5;
2644933;static.shoofle.tv;3;2;Computer;13;;;5;
2644934;esquire.com;2;2;News;21;;;5;
2644935;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644936;npr.org;2;2;News;21;;;5;
2644937;aolplatforms.com;2;2;Ads;11;;;5;
2644938;openculture.com;2;2;Adult;1;;;5;
2644939;pbs.org;2;2;News;21;;;5;
2644940;people.com;2;2;News;21;;;5;
2644941;theguardian.com;2;2;News;21;;;5;
